,username,createdAt,text,followers,retweetCount
1020,GAMURScom,4/25/2017 14:15,Team Secret and Virtus Pro advance to the # KievMajor playoffs : https : //t.co/J3LwTdMOaG,423046,0
114,ESPN_Esports,4/25/2017 22:20,. @ TeamVirtuspro and @ teamsecret snatched the group stage first seeds at the Kiev Major : https : //t.co/i8WRS3RKqb https : //t.co/y0obReFtwG,379172,1
418,OGDota2,4/25/2017 18:26,RT @ wykrhm : A fine game of Dota by OG in Game 3 to secure a Gold Seed from The Kiev Major Groups . Thunderbirds will settle for Silver . # Kie…,348461,27
417,KittyPlays,4/25/2017 18:26,. @ DreamHack JK not putting pants on and queueing Dota all day ¯\_ ( ? ) _/¯I can pack tomorrow B- ),139695,4
1795,itmeJP,4/25/2017 8:17,I 'm down to about one DotA game a weekthis weeks game was a 34-5 kill lead throw ending in a 68-48 kill losssome people so stubborn,125315,0
909,RLewisReports,4/25/2017 15:07,@ Archyes_Dota @ Thooorin Rod 's intel is in line with what I 've heard . I 'll stress I 've not dug into it yet though .,95286,0
1183,djWHEAT,4/25/2017 12:58,Vegas trip and offset schedule means I have n't seen a single DOTA 2 Kiev Major Group match ! Any series that I should watch VODs ?,91777,0
937,PaulChaloner,4/25/2017 14:55,Id like to thank @ LodaBerg @ DendiBoss @ PajkattDota @ OG_BDN0tail @ Kennigit for helping me 4 years ago and turning me in to a dota addict .,84747,25
1904,wykrhm,4/25/2017 7:43,Some brilliant Dota towards the end secure Virtus Pro an intense game against TnC in the Round 3 High Seed opener for today . Nice game .,69429,118
86,TwitchSharing,4/25/2017 22:44,RT @ Barondoto : Dota 2 pleb ,,
